P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
KTE7_096      & KTE8_096      189.266900202  0.730434
FBM1_095      & KTE9_064      >472.485724202  Highly sign.
FBM2_095      & KTE9_064      >529.007248202  Highly sign.
FBM3_095      & KTE9_064      >548.771827202  Highly sign.
FBM4_095      & KTE9_064      >598.540122202  Highly sign.
FTM1_095      & KTE9_064      >473.542077202  Highly sign.
FTM2_095      & KTE9_064      >456.319691202  Highly sign.
FTM3_093      & KTE9_064      >456.263827202  Highly sign.
FTM4_078      & KTE9_064      >490.704652202  Highly sign.
FTM5_095      & KTE9_064      >520.076347202  Highly sign.
FTM6_095      & KTE9_064      >518.071432202  Highly sign.
KBL1_096      & KTE9_064      >363.925915202  Highly sign.
KBL2_097      & KTE9_064      >338.614432202  Highly sign.
KBL4_096      & KTE9_064      >369.523211202  Highly sign.
KBL5_096      & KTE9_064      >371.429543202  Highly sign.
KOL1_062      & KTE9_064      >352.204201200  Highly sign.
KTE1_096      & KTE9_064      220.453059202  0.177581
KTE2_096      & KTE9_064      226.054267202  0.117945
KTE4_066      & KTE9_064      176.301337202  0.903849
KTE5_096      & KTE9_064      192.834123200  0.629046
KTE6_096      & KTE9_064      226.546416202  0.113519
KTE7_096      & KTE9_064      234.204526202  0.059726
KTE8_096      & KTE9_064      226.230122202  0.116349
FBM1_095      & KTL1_095      >516.878137202  Highly sign.
FBM2_095      & KTL1_095      >537.788159202  Highly sign.
FBM3_095      & KTL1_095      >610.670766202  Highly sign.
FBM4_095      & KTL1_095      >617.998875202  Highly sign.
FTM1_095      & KTL1_095      >486.231918202  Highly sign.
FTM2_095      & KTL1_095      >466.544520202  Highly sign.
FTM3_093      & KTL1_095      >532.798459202  Highly sign.
FTM4_078      & KTL1_095      >535.410316202  Highly sign.
FTM5_095      & KTL1_095      >517.010375202  Highly sign.
FTM6_095      & KTL1_095      >518.093234202  Highly sign.
KBL1_096      & KTL1_095      185.420507202  0.792564
KBL2_097      & KTL1_095      190.572996202  0.707610
KBL4_096      & KTL1_095      197.567056202  0.574958
KBL5_096      & KTL1_095      199.444157202  0.537656
KOL1_062      & KTL1_095      317.304909202  0.000000
KTE1_096      & KTL1_095      >302.783902202  <0.000006
KTE2_096      & KTL1_095      >405.513492202  Highly sign.
KTE4_066      & KTL1_095      >279.210578202  <0.000262
KTE5_096      & KTL1_095      >345.769883202  Highly sign.
KTE6_096      & KTL1_095      >369.998162202  Highly sign.
KTE7_096      & KTL1_095      >352.119234202  Highly sign.
KTE8_096      & KTL1_095      >340.421256202  Highly sign.
KTE9_064      & KTL1_095      >310.835351202  <0.000001
FBM1_095      & KTL2_095      >588.560038202  Highly sign.
FBM2_095      & KTL2_095      >486.833577202  Highly sign.
FBM3_095      & KTL2_095      >611.131863202  Highly sign.
FBM4_095      & KTL2_095      >578.588445202  Highly sign.
FTM1_095      & KTL2_095      >494.380051202  Highly sign.
FTM2_095      & KTL2_095      >463.025407202  Highly sign.
FTM3_093      & KTL2_095      >507.077989202  Highly sign.
FTM4_078      & KTL2_095      >530.439881202  Highly sign.
FTM5_095      & KTL2_095      >487.574497202  Highly sign.
FTM6_095      & KTL2_095      >570.242755202  Highly sign.
KBL1_096      & KTL2_095      182.537094202  0.833485
KBL2_097      & KTL2_095      167.120350202  0.965075
KBL4_096      & KTL2_095      189.266460202  0.730441
KBL5_096      & KTL2_095      151.494849202  0.996775
