P-value for each population pair across all loci
(Fisher's method)
-----------------------------------------------------
Population pair               Chi2      df   P-Value
KBL1_096      & KTE4_066      >333.574160204  Highly sign.
KBL2_097      & KTE4_066      >340.476625204  Highly sign.
KBL4_096      & KTE4_066      >336.736047204  Highly sign.
KBL5_096      & KTE4_066      >337.673780204  Highly sign.
KOL1_062      & KTE4_066      >378.328678204  Highly sign.
KTE1_096      & KTE4_066      176.613833204  0.917501
KTE2_096      & KTE4_066      228.537779204  0.114660
FBM1_095      & KTE5_096      >492.731083204  Highly sign.
FBM2_095      & KTE5_096      >571.886362204  Highly sign.
FBM3_095      & KTE5_096      >566.525707204  Highly sign.
FBM4_095      & KTE5_096      >576.284340204  Highly sign.
FOM1_095      & KTE5_096      >483.665843204  Highly sign.
FTM2_095      & KTE5_096      >469.099869204  Highly sign.
FTM3_093      & KTE5_096      >484.033909204  Highly sign.
FTM4_078      & KTE5_096      >495.969412204  Highly sign.
FTM5_095      & KTE5_096      >545.373038204  Highly sign.
FTM6_095      & KTE5_096      >520.204198204  Highly sign.
KBL1_096      & KTE5_096      >355.962572204  Highly sign.
KBL2_097      & KTE5_096      >402.381447204  Highly sign.
KBL4_096      & KTE5_096      >375.714016204  Highly sign.
KBL5_096      & KTE5_096      >391.674642204  Highly sign.
KOL1_062      & KTE5_096      >400.411495202  Highly sign.
KTE1_096      & KTE5_096      231.372000204  0.091486
KTE2_096      & KTE5_096      273.489168204  0.000836
KTE4_066      & KTE5_096      208.539924204  0.398930
FBM1_095      & KTE6_096      >501.090254204  Highly sign.
FBM2_095      & KTE6_096      >577.294625204  Highly sign.
FBM3_095      & KTE6_096      >617.685078204  Highly sign.
FBM4_095      & KTE6_096      >562.949419204  Highly sign.
FOM1_095      & KTE6_096      >501.808792204  Highly sign.
FTM2_095      & KTE6_096      >501.261582204  Highly sign.
FTM3_093      & KTE6_096      >450.621895204  Highly sign.
FTM4_078      & KTE6_096      >499.422333204  Highly sign.
FTM5_095      & KTE6_096      >523.609520204  Highly sign.
FTM6_095      & KTE6_096      >537.843706204  Highly sign.
KBL1_096      & KTE6_096      >384.080443204  Highly sign.
KBL2_097      & KTE6_096      >438.234576204  Highly sign.
KBL4_096      & KTE6_096      >383.135228204  Highly sign.
KBL5_096      & KTE6_096      >361.555845204  Highly sign.
KOL1_062      & KTE6_096      >459.228228204  Highly sign.
KTE1_096      & KTE6_096      249.613314204  0.016132
KTE2_096      & KTE6_096      240.900349204  0.039239
KTE4_066      & KTE6_096      199.275990204  0.580314
KTE5_096      & KTE6_096      199.689653204  0.572173
FBM1_095      & KTE7_096      >543.312157204  Highly sign.
FBM2_095      & KTE7_096      >598.744048204  Highly sign.
FBM3_095      & KTE7_096      >631.374864204  Highly sign.
FBM4_095      & KTE7_096      >613.827613204  Highly sign.
FOM1_095      & KTE7_096      >560.775074204  Highly sign.
FTM2_095      & KTE7_096      >516.932521204  Highly sign.
FTM3_093      & KTE7_096      >499.193320204  Highly sign.
FTM4_078      & KTE7_096      >551.238167204  Highly sign.
FTM5_095      & KTE7_096      >519.914742204  Highly sign.
FTM6_095      & KTE7_096      >607.062752204  Highly sign.
KBL1_096      & KTE7_096      >406.628322204  Highly sign.
KBL2_097      & KTE7_096      >401.432038204  Highly sign.
KBL4_096      & KTE7_096      >408.878458204  Highly sign.
KBL5_096      & KTE7_096      >351.903182204  Highly sign.
KOL1_062      & KTE7_096      >488.407849204  Highly sign.
KTE1_096      & KTE7_096      244.821207204  0.026655
KTE2_096      & KTE7_096      265.293135204  0.002509
KTE4_066      & KTE7_096      180.662222204  0.878895
KTE5_096      & KTE7_096      204.987558204  0.467396
KTE6_096      & KTE7_096      186.562200204  0.804038
FBM1_095      & KTE8_096      >490.931828204  Highly sign.
FBM2_095      & KTE8_096      >572.999254204  Highly sign.
FBM3_095      & KTE8_096      >608.455210204  Highly sign.
FBM4_095      & KTE8_096      >659.213646204  Highly sign.
FOM1_095      & KTE8_096      >568.196466204  Highly sign.
FTM2_095      & KTE8_096      >552.492658204  Highly sign.
FTM3_093      & KTE8_096      >543.150379204  Highly sign.
FTM4_078      & KTE8_096      >570.650428204  Highly sign.
FTM5_095      & KTE8_096      >578.479619204  Highly sign.
FTM6_095      & KTE8_096      >575.096622204  Highly sign.
KBL1_096      & KTE8_096      >402.131701204  Highly sign.
KBL2_097      & KTE8_096      >406.616514204  Highly sign.
KBL4_096      & KTE8_096      >379.672862204  Highly sign.
KBL5_096      & KTE8_096      >340.285414204  Highly sign.
KOL1_062      & KTE8_096      >474.606276204  Highly sign.
KTE1_096      & KTE8_096      224.471914204  0.155200
KTE2_096      & KTE8_096      244.801807204  0.026708
KTE4_066      & KTE8_096      186.998063204  0.797647
KTE5_096      & KTE8_096      196.030332204  0.643118
KTE6_096      & KTE8_096      197.752604204  0.610069
KTE7_096      & KTE8_096      189.835439204  0.753370
FBM1_095      & KTE9_064      >473.444721204  Highly sign.
FBM2_095      & KTE9_064      >529.954019204  Highly sign.
FBM3_095      & KTE9_064      >552.912204204  Highly sign.
FBM4_095      & KTE9_064      >599.556001204  Highly sign.
FOM1_095      & KTE9_064      >474.192025204  Highly sign.
FTM2_095      & KTE9_064      >457.374814204  Highly sign.
FTM3_093      & KTE9_064      >456.585996204  Highly sign.
FTM4_078      & KTE9_064      >493.227108204  Highly sign.
FTM5_095      & KTE9_064      >522.259172204  Highly sign.
FTM6_095      & KTE9_064      >518.071432204  Highly sign.
KBL1_096      & KTE9_064      >363.925915204  Highly sign.
KBL2_097      & KTE9_064      >340.631025204  Highly sign.
KBL4_096      & KTE9_064      >371.549475204  Highly sign.
